volume,num,open,close,low,high,money,label
3.280910929,75,8176.88,8176.59,8173.99,8178.19,26827.1895,8174.85
0.938,52,8175.61,8178.05,8174.8,8178.05,7669.386383,8176.59
4.3972,42,8174.52,8175.62,8173.99,8175.62,35946.044,8178.05
2.5821,70,8173.99,8174.8,8173.99,8175.62,21107.8253,8175.62
2.195,58,8174.81,8173.99,8173.18,8174.81,17942.50535,8174.8
7.5642,93,8174.26,8174.43,8171.69,8177.1,61835.19363,8173.99
5.658500538,80,8173.28,8174.75,8172.48,8175.69,46255.62369,8174.43
7.766249763,99,8181.61,8172.48,8169.02,8181.61,63478.25843,8174.75
9.226866139,94,8186,8181.7,8181.7,8186.5,75519.84609,8172.48
3.368626658,120,8184.47,8186,8182.83,8186.47,27572.06333,8181.7
3.250095356,104,8183.87,8184,8182.17,8186.93,26599.56764,8186
6.984023904,122,8182.43,8183.19,8180.29,8184.81,57146.34797,8184
6.773033398,128,8186.69,8181.96,8181.96,8187.78,55444.64173,8183.19
4.344164776,98,8179.55,8187.51,8179.51,8187.68,35544.75727,8181.96
3.31834629,67,8178.67,8179.54,8178.34,8180,27141.18956,8187.51
7.335464117,82,8178.75,8178.5,8178.34,8179.84,59998.30484,8179.54
7.10720162,91,8171.15,8178.34,8170.17,8178.75,58105.71593,8178.5
5.5824,107,8178.95,8172.45,8170.63,8178.95,45631.70317,8178.34
10.68416571,72,8180.52,8179.51,8178.87,8181.49,87395.54344,8172.45
1.938778688,71,8181,8181.33,8180.52,8181.8,15861.65937,8179.51
6.470828679,105,8181.48,8181,8180.53,8181.49,52937.92805,8181.33
12.81487551,129,8175,8181.48,8174.99,8181.49,104808.3073,8181
6.103707034,78,8176.49,8174.99,8174.87,8176.5,49901.43681,8181.48
6.362917928,67,8175.52,8176.49,8174.72,8176.5,52023.03337,8174.99
12.11002157,105,8176.91,8175.63,8174.88,8180.18,99028.81795,8176.49
5.525922276,96,8183.96,8176.91,8175.77,8184.77,45208.38874,8175.63
6.553478652,163,8185.37,8183.96,8182.73,8188.34,53642.18321,8176.91
11.05595372,182,8183.09,8185.42,8181.56,8190,90496.03228,8183.96
8.536705131,133,8181.05,8183.08,8179.84,8187.3,69861.17831,8185.42
11.33337634,196,8165.04,8180.2,8164.39,8180.2,92634.40192,8183.08
4.027902367,113,8165.19,8166.49,8162.66,8167.3,32890.99998,8180.2
3.940898182,111,8163.98,8165.01,8160.93,8165.01,32170.84001,8166.49
2.126082256,77,8162.84,8164,8160.83,8165,17356.33747,8165.01
5.129829512,124,8159.84,8162.84,8159.83,8162.84,41863.26415,8164
8.484547931,128,8164.82,8159.86,8159.85,8164.82,69255.32033,8162.84
4.193137061,105,8164,8164.01,8162.18,8165.99,34233.24183,8159.86
3.498505693,92,8161.13,8163.59,8160.09,8165.52,28556.12085,8164.01
3.265777493,103,8161.28,8160.81,8160.09,8163.71,26654.25396,8163.59
5.900925102,111,8160.4,8161.29,8160,8163.3,48155.85024,8160.81
7.345842129,203,8156.92,8161.4,8155.92,8161.4,59934.40943,8161.29
7.261761138,232,8156.53,8156.41,8155.82,8158.96,59239.24628,8161.4
8.573696733,235,8158.27,8156.67,8155.92,8160,69945.71523,8156.41
15.92059633,161,8151.9,8158.96,8151.46,8160,129799.8286,8156.67
8.017815971,117,8149.85,8152.45,8148.69,8153.83,65360.03088,8158.96
